Ep No.,Name,Type,Date
314,The Strongest Family? Luffy's Father Revealed!,Manga Canon,2007-06-17
315,Its Name Is the New World! The Fate of the Grand Line!,Manga Canon,2007-06-24
316,Shanks Makes a Move! The Linchpin to the Reckless Era!,Manga Canon,2007-07-01
317,The Girl in Search of Her Yagara! Great Search in the City of Water!,Filler,2007-07-08
318,Mothers Are Strong! Zoro's Hectic Household Chores!,Filler,2007-07-15
319,Sanji's Shock! Mysterious Old Man and His Super Yummy Cooking!,Filler,2007-07-22
320, Everyone Finally Has a Bounty! A Pirate Group Worth Over 600 Million!,Manga Canon,2007-08-19
321,The King of Animals That Overlooks the Sea! The Dream Ship Magnificently Completed!,Manga Canon,2007-08-26
322,Goodbye My Dear Underlings! Franky Departs!,Manga Canon,2007-09-02
323,Departing the City of Water! Usopp Mans up and Brings Closure to the Duel!,Manga Canon,2007-09-09
324,Wanted Posters Make It Around the World! Celebrations in Their Hometowns as the Ship Moves Forward!,Manga Canon,2007-09-16
325,The Most Heinous Power! Blackbeard’s Darkness Attacks Ace!,Manga Canon,2007-09-23
326,The Mysterious Band of Pirates! Sunny and the Dangerous Trap!,Filler,2007-10-14
